symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
ORIENTTECH,EQ,-,10,Bonus 1:10,05-Jan-2026,05-Jan-2026,-,-,-,Orient Technologies Limited,INE0PPK01015,-,
AIIL,EQ,-,1,Bonus 4:1,13-Jan-2026,13-Jan-2026,-,-,-,Authum Investment & Infrastructure Limited,INE206F01022,-,
BESTAGRO,EQ,-,1,Bonus 1:2,16-Jan-2026,16-Jan-2026,-,-,-,Best Agrolife Limited,INE052T01013,-,
AXITA,EQ,-,1,Bonus 1:10,13-Feb-2026,13-Feb-2026,-,-,-,Axita Cotton Limited,INE02EZ01014,-,
DELPHIFX,EQ,-,2,Bonus 2:1,13-Feb-2026,14-Feb-2026,-,-,-,DELPHI WORLD MONEY LIMITED,INE726L01019,-,
INFOBEAN,EQ,-,10,Bonus 3:1,27-Feb-2026,27-Feb-2026,-,-,-,InfoBeans Technologies Limited,INE344S01016,-,
KAPSTON,EQ,-,5,Bonus 1:2,06-Mar-2026,06-Mar-2026,-,-,-,Kapston Services Limited,INE542Z01010,-,
SILVERTUC,EQ,-,2,Bonus 1:1,06-Mar-2026,06-Mar-2026,-,-,-,Silver Touch Technologies Limited,INE625X01018,-,
CUPID,EQ,-,1,Bonus 4:1,09-Mar-2026,09-Mar-2026,-,-,-,Cupid Limited,INE509F01011,-,
ECLERX,EQ,-,10,Bonus 1:1,13-Mar-2026,13-Mar-2026,-,-,-,eClerx Services Limited,INE738I01010,-,
METROPOLIS,EQ,-,2,Bonus 3:1,20-Mar-2026,20-Mar-2026,-,-,-,Metropolis Healthcare Limited,INE112L01020,-,
KILITCH,EQ,-,10,Bonus 1:1,24-Mar-2026,24-Mar-2026,-,-,-,Kilitch Drugs (India) Limited,INE729D01010,-,
HIRECT,EQ,-,2,Bonus 1:1,27-Mar-2026,27-Mar-2026,-,-,-,Hind Rectifiers Limited,INE835D01023,-,
IRB,EQ,-,1,Bonus 1:1,30-Mar-2026,01-Apr-2026,-,-,-,IRB Infrastructure Developers Limited,INE821I01014,-,
