symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
NHIT,IV,-,101,Distribution - Rs 2.744 Per Unit Consists Of Rs 2.733 Per Unit As Interest & Re 0.011 Per Unit As Other Income,30-Jan-2026,30-Jan-2026,-,-,-,National Highways Infra Trust,INE0H7R23014,-,
MINDSPACE,RR,-,275,Distribution - Rs 5.83 Per Unit Consisting Of Dividend - Rs 3.12 Per Unit/ Interest - Re 0.05 Per Unit/ Repayment Of Spv Debt - Rs 2.66 Per Unit,30-Jan-2026,30-Jan-2026,-,-,-,Mindspace Business Parks REIT,INE0CCU25019,-,
BIRET,RR,-,275,Distribution - Rs 5.40 Per Unit Consisting Of Interest - Rs 1.59 Per Unit/ Repayment Of Spv Debt - Rs 2.60 Per Unit/ Dividend - Re 0.94 Per Unit/ Interest On Fixed Deposit - Re 0.27 Per Unit,03-Feb-2026,03-Feb-2026,-,-,-,Brookfield India Real Estate Trust,INE0FDU25010,-,
ANZEN,IV,-,100,Distribution - Rs 2.75 Per Unit Consist Of Rs 2.3176 Per Unit As Interest/Re 0.3904 Per Unit As Principal Repayment/Re 0.0420 Per Unit As Other Income,03-Feb-2026,03-Feb-2026,-,-,-,Anzen India Energy Yield Plus Trust,INE0MIZ23019,-,
VERTIS,IV,-,100,Distribution - Rs 3 Per Unit Consisting Rs 1.6001 Per Unit - Interest/Rs 1.3008 Per Unit - Return Of Capital/Re 0.0991 Per Unit - Dividend,04-Feb-2026,04-Feb-2026,-,-,-,Vertis Infrastructure Trust,INE0KXY23015,-,
CUBEINVIT,IV,-,100,Distribution - Rs 4.10 Per Unit Consisting Of Rs 2 Per Unit As Interest/Re 0.77 Per Unit As Dividend/Rs 1.33 Per Unit As Return Of Capital,04-Feb-2026,04-Feb-2026,-,-,-,Cube Highways Trust,INE0NR623014,-,
NXST,RR,-,100,Distribution - Rs 2.367 Consisting Of Re 0.611 As Interest/ Rs 1.574 Per Unit As Dividend/ Re 0.014 Per Unit As Other Income/ Re 0.168 Per Unit As Repayment Of Spv Level Debt,05-Feb-2026,05-Feb-2026,-,-,-,Nexus Select Trust,INE0NDH25011,-,
INDUSINVIT,IV,-,100,Distribution - Rs 3.40 Per Unit Consist Of Rs 1.44 Per Unit As Interest/ Rs 1.96 Per Unit As Return Of Capital,06-Feb-2026,06-Feb-2026,-,-,-,Indus Infra Trust,INE0NHL23019,-,
SEITINVIT,IV,-,100,Distribution - Rs 2.39558 Per Unit Consist Of Rs 2.38941 Per Unit As Interest And Re 0.00617 Per Unit As Other Income,09-Feb-2026,09-Feb-2026,-,-,-,Sustainable Energy Infra Trust,INE0R8O23017,-,
SHREMINVIT,IV,-,100,Distribution - Rs 5.418 Per Unit Consists Of Rs 1.109 Per Unit As Dividend/ Rs 2.738 Per Unit As Interest/ Rs 1.571 Per Unit As Return Of Capital,10-Feb-2026,10-Feb-2026,-,-,-,Shrem Invit,INE0GTI23014,-,
KRT,RR,-,100,Distribution - Rs 1.568 Per Unit Consist Of Rs 1.081 Per Unit As Dividend/ Re 0.130 Per Unit As Interest/ Re 0.354 Per Unit As Repayment Of Debt/ Re 0.003 Per Unit As Other Income,10-Feb-2026,10-Feb-2026,-,-,-,Knowledge Realty Trust,INE1JAR25012,-,
CAPINVIT,IV,-,99,Distribution - Rs 2.34 Per Unit Consist Of Re 0.41 Per Unit As Interest/ Rs 1.54 Per Unit As Dividend/ Re 0.38 Per Unit As Return Of Capital/ Re 0.01 Per Unit As Other Income,10-Feb-2026,10-Feb-2026,-,-,-,Capital Infra Trust,INE0Z8Z23013,-,
TVSINVIT,IV,-,100,Distribution - Rs 1.51 Per Unit Consist Of Rs 1.13 Per Unit As Interest/ Re 0.38 Per Unit As Other Income,11-Feb-2026,11-Feb-2026,-,-,-,TVS Infrastructure Trust,INE1JNC23012,-,
EMBASSY,RR,-,300,Distribution - Rs 6.47 Per Unit Consisting Of Re 0.66 Per Unit As Interest/ Re 0.71 Per Unit As Dividend/ Rs 5.10 Per Unit As Repayment Of Spv Level Debt,11-Feb-2026,11-Feb-2026,-,-,-,Embassy Office Parks REIT,INE041025011,-,
PGINVIT,IV,-,100,Distribution - Rs 3 Per Unit Consist Of Rs 1.84 Per Unit As Interest/ Re 0.64 Per Unit As Dividend/ Re 0.51 Per Unit As Repayment Of Capital (Spv Debt)/ Re 0.01 Per Unit As Treasury Income,12-Feb-2026,12-Feb-2026,-,-,-,POWERGRID Infrastructure Investment Trust,INE0GGX23010,-,
NDRINVIT,IV,-,100,Distribution - Rs 1.875 Per Unit Consists Of Re 0.821 Per Unit As Interest/ Re 0.821 Per Unit As Return Of Capital/ Re 0.233 Per Unit As Dividend,16-Feb-2026,16-Feb-2026,-,-,-,NDR INVIT Trust,INE0Q7Q23015,-,
ANANTAM,IV,-,100,Distribution - Rs 2.50 Per Unit Consist Of Rs 1.08016 Per Unit As Interest/ Rs 1.41536 Per Unit As Capital Repayment/ Re 0.00448 Per Unit As Other Income,16-Feb-2026,16-Feb-2026,-,-,-,Anantam Highways Trust,INE1UA823019,-,
IRBINVIT,IV,-,102,Distribution - Rs 1.50 Consists Of Re 0.95 Per Unit As Interest/ Re 0.44 Per Unit As Return Of Capital/ Re 0.11 Per Unit As Dividend,16-Feb-2026,16-Feb-2026,-,-,-,IRB InvIT Fund,INE183W23014,-,
IRBIT,IV,-,100,Distribution - Re 0.43 Per Unit As Interest,16-Feb-2026,16-Feb-2026,-,-,-,IRB INFRASTRUCTURE TRUST,INE0C8K23012,-,
NXT-INFRA,IV,-,100,Distribution - Rs 7.4825 Per Unit Consist Of Rs 1.4596 Per Unit As Interest/ Rs 6.0229 Per Unit As Repayment Of Capital,17-Feb-2026,17-Feb-2026,-,-,-,Nxt-Infra Trust,INE0SF023016,-,
INTERISE,IV,-,100,Distribution - Rs 3.81 Per Unit Consist Of Rs 2.82 Per Unit As Interest/ Re 0.98 Per Unit As Dividend/ Re 0.01 Per Unit As Other Income,17-Feb-2026,17-Feb-2026,-,-,-,Interise Trust,INE790Z23019,-,
INDIGRID,IV,-,100,Distribution - Rs 4 Per Unit Consist Of Rs 2.9465 Per Unit As Interest/ Re 0.0074 Per Unit As Dividend/ Rs 1.0143 Per Unit As Capital Repayment/ Re 0.0318 Per Unit As Other Income,17-Feb-2026,17-Feb-2026,-,-,-,IndiGrid Infrastructure Trust,INE219X23014,-,
OSEINTRUST,IV,-,100,Distribution - Rs 2.2834 Per Unit Consists Of Rs 1.0781 Per Unit As Interest/ Re 0.7192 Per Unit As Dividend/ Re 0.4861 Per Unit As Return Of Capital,18-Feb-2026,18-Feb-2026,-,-,-,Oriental InfraTrust,INE07Z523018,-,
NHIT,IV,-,101,Distribution - Rs 1.160 Per Unit Consists Of Re 1.157 Per Unit As Interest And Re 0.003 Per Unit As Other Income,20-Mar-2026,20-Mar-2026,-,-,-,National Highways Infra Trust,INE0H7R23014,-,
