symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
MCX,EQ,-,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,02-Jan-2026,02-Jan-2026,-,-,-,Multi Commodity Exchange of India Limited,INE745G01035,-,
SKMEGGPROD,EQ,-,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,12-Jan-2026,12-Jan-2026,-,-,-,SKM Egg Products Export (India) Limited,INE411D01015,-,
AJMERA,EQ,-,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,14-Jan-2026,15-Jan-2026,-,-,-,Ajmera Realty & Infra India Limited,INE298G01027,-,
KOTAKBANK,EQ,-,1,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share,14-Jan-2026,14-Jan-2026,-,-,-,Kotak Mahindra Bank Limited,INE237A01010,-,
BESTAGRO,EQ,-,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,16-Jan-2026,16-Jan-2026,-,-,-,Best Agrolife Limited,INE052T01013,-,
DELPHIFX,EQ,-,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,13-Feb-2026,14-Feb-2026,-,-,-,DELPHI WORLD MONEY LIMITED,INE726L01019,-,
ANGELONE,EQ,-,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,26-Feb-2026,26-Feb-2026,-,-,-,Angel One Limited,INE732I01013,-,
VGL,EQ,-,5,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 5/- Per Share,02-Mar-2026,02-Mar-2026,-,-,-,VARVEE GLOBAL LIMITED,INE273D01019,-,
AQYLON,EQ,-,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,05-Mar-2026,05-Mar-2026,-,-,-,Aqylon Nexus Limited,INE416A01044,-,
SILVERTUC,EQ,-,2,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share,06-Mar-2026,06-Mar-2026,-,-,-,Silver Touch Technologies Limited,INE625X01018,-,
V2RETAIL,EQ,-,1,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share,25-Mar-2026,26-Mar-2026,-,-,-,V2 Retail Limited,INE945H01013,-,
