symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
668GS2040,GS,-,100,Interest Payment,06-Jan-2026,06-Jan-2026,-,-,-,Government of India,IN0020250042,-,
717GS2028,GS,-,100,Interest Payment,07-Jan-2026,07-Jan-2026,-,-,-,GOVERNMENT OF INDIA,IN0020170174,-,
833GS2026,GS,-,100,Interest Payment,08-Jan-2026,08-Jan-2026,-,-,-,GOVERNMENT OF INDIA,IN0020120039,-,
726GS2029,GS,-,100,Interest Payment,13-Jan-2026,13-Jan-2026,-,-,-,GOVERNMENT OF INDIA,IN0020180454,-,
628GS2032,GS,-,100,Interest Payment,13-Jan-2026,13-Jan-2026,-,-,-,Government of India,IN0020250059,-,
683GS2039,GS,-,100,Interest Payment,16-Jan-2026,17-Jan-2026,-,-,-,GOVERNMENT OF INDIA,IN0020080050,-,
601GS2030,GS,-,100,Interest Payment,20-Jan-2026,20-Jan-2026,-,-,-,Government of India,IN0020250067,-,
824GS2027,GS,-,100,Interest Payment,13-Feb-2026,13-Feb-2026,-,-,-,GOVERNMENT OF INDIA,IN0020060078,-,
795GS2032,GS,-,100,Interest Payment,27-Feb-2026,27-Feb-2026,-,-,-,GOVERNMENT OF INDIA,IN0020020106,-,
697GS2026,GS,-,100,Interest Payment,05-Mar-2026,05-Mar-2026,-,-,-,GOVERNMENT OF INDIA,IN0020160035,-,
74GS2035,GS,-,100,Interest Payment,06-Mar-2026,07-Mar-2026,-,-,-,GOVERNMENT OF INDIA,IN0020050012,-,
1018GS2026,GS,-,100,Interest Payment,10-Mar-2026,10-Mar-2026,-,-,-,GOVERNMENT OF INDIA,IN0020010081,-,
668GS2031,GS,-,100,Interest Payment,16-Mar-2026,16-Mar-2026,-,-,-,GOVERNMENT OF INDIA,IN0020170042,-,
759GS2029,GS,-,100,Interest Payment,18-Mar-2026,18-Mar-2026,-,-,-,GOVERNMENT OF INDIA,IN0020150069,-,
788GS2030,GS,-,100,Interest Payment,18-Mar-2026,18-Mar-2026,-,-,-,GOVERNMENT OF INDIA,IN0020150028,-,
833GS2032,GS,-,100,Interest Payment,20-Mar-2026,20-Mar-2026,-,-,-,GOVERNMENT OF INDIA,IN0020070077,-,
828GS2027,GS,-,100,Interest Payment,20-Mar-2026,20-Mar-2026,-,-,-,GOVERNMENT OF INDIA,IN0020070069,-,
601GS2028,GS,-,100,Interest Payment,24-Mar-2026,24-Mar-2026,-,-,-,GOVERNMENT OF INDIA,IN0020020247,-,
92GS2030,GS,-,100,Interest Payment,30-Mar-2026,30-Mar-2026,-,-,-,GOVERNMENT OF INDIA,IN0020130053,-,
