symbol,series,ind,faceVal,subject,exDate,recDate,bcStartDate,bcEndDate,ndStartDate,comp,isin,ndEndDate,caBroadcastDate
SILGO,EQ,-,10,Rights 3:10 @ Premium Rs 50/-,05-Jan-2026,05-Jan-2026,-,-,-,Silgo Retail Limited,INE01II01013,-,
STALLION,EQ,-,10,Rights 19:41 @ Premium Rs 89/-,11-Feb-2026,11-Feb-2026,-,-,-,Stallion India Fluorochemicals Limited,INE0RYC01010,-,
ONELIFECAP,EQ,-,10,Rights 300:167 @ Premium Rs 5/-,16-Feb-2026,16-Feb-2026,-,-,-,Onelife Capital Advisors Limited,INE912L01015,-,
SICALLOG,EQ,-,10,Rights 11:5 @ Premium Rs 54/-,18-Feb-2026,18-Feb-2026,-,-,-,Sical Logistics Limited,INE075B01020,-,
SADHNANIQ,EQ,-,1,Rights 8:1 @ Premium Rs 0/-,18-Feb-2026,19-Feb-2026,-,-,-,Sadhana Nitrochem Limited,INE888C01040,-,
HILTON,EQ,-,10,Rights 29:60 @ Premium Rs 6.68/-,24-Feb-2026,24-Feb-2026,-,-,-,Hilton Metal Forging Limited,INE788H01017,-,
BHANDARI,EQ,-,1,Rights 4:5 @ Premium Rs 1.56/-,25-Feb-2026,25-Feb-2026,-,-,-,Bhandari Hosiery Exports Limited,INE474E01029,-,
HCG,EQ,-,10,Rights 1:17 @ Premium Rs 502/-,02-Mar-2026,02-Mar-2026,-,-,-,Healthcare Global Enterprises Limited,INE075I01017,-,
PRABHA,EQ,-,1,Rights 5:14 @ Premium Rs 143/-,11-Mar-2026,11-Mar-2026,-,-,-,Prabha Energy Limited,INE0I0M01023,-,
5PAISA,EQ,-,10,Rights 1:2 @ Premium Rs 290/-,17-Mar-2026,17-Mar-2026,-,-,-,5Paisa Capital Limited,INE618L01018,-,
MAHAPEXLTD,EQ,-,10,Rights 1:1 @ Premium Rs 0/-,20-Mar-2026,20-Mar-2026,-,-,-,Maha Rashtra Apex Corporation Limited,INE843B01013,-,
TIL,EQ,-,10,Rights 11:64 @ Premium Rs 155/-,23-Mar-2026,23-Mar-2026,-,-,-,TIL Limited,INE806C01018,-,
